"Date","MinDO","Location"
2013-10-11,5.90667,"Upstream2"
2013-10-12,3.16,"Upstream2"
2013-10-13,0.95,"Upstream2"
2013-10-14,0.12,"Upstream2"
2013-10-15,0.01,"Upstream2"
2013-10-16,0,"Upstream2"
2013-10-19,7.47,"Upstream2"
2013-10-20,7.29,"Upstream2"
2013-10-21,7.68,"Upstream2"
2013-10-22,7.59333,"Upstream2"
2013-10-23,7.46667,"Upstream2"
2013-10-24,7.55667,"Upstream2"
2013-10-25,7.90667,"Upstream2"
2013-10-26,7.69,"Upstream2"
2013-10-27,7.82333,"Upstream2"
2013-10-28,8.46,"Upstream2"
2013-10-29,8.23,"Upstream2"
2013-10-30,8.07333,"Upstream2"
2013-10-31,7.94,"Upstream2"
2013-11-01,7.42667,"Upstream2"
2013-11-02,6.72667,"Upstream2"
2013-11-03,6.76,"Upstream2"
2013-11-04,7.80333,"Upstream2"
2013-11-05,8.39667,"Upstream2"
2013-11-06,8.44333,"Upstream2"
2013-11-07,7.85333,"Upstream2"
2013-11-08,7.98667,"Upstream2"
2013-11-09,8.78667,"Upstream2"
2013-11-10,8.69667,"Upstream2"
2013-11-11,8.54333,"Upstream2"
2013-11-12,8.62333,"Upstream2"
2013-11-13,8.28,"Upstream2"
2013-11-14,9.33667,"Upstream2"
2013-11-15,9.36,"Upstream2"
2013-11-16,8.56333,"Upstream2"
2013-11-17,7.98333,"Upstream2"
2013-11-18,7.72333,"Upstream2"
2013-11-19,8.03667,"Upstream2"
2013-11-20,9.01667,"Upstream2"
2013-11-21,9.18,"Upstream2"
2013-11-22,8.75667,"Upstream2"
2013-11-23,8.12,"Upstream2"
2013-11-24,8.67667,"Upstream2"
2013-11-25,10.1933,"Upstream2"
2013-11-26,9.96667,"Upstream2"
2013-11-27,9.09667,"Upstream2"
2013-11-28,9.65667,"Upstream2"
2013-11-29,10.4267,"Upstream2"
2013-11-30,10.5233,"Upstream2"
2013-12-01,10.3467,"Upstream2"
2013-12-02,9.72333,"Upstream2"
2013-12-03,9.59,"Upstream2"
2013-12-04,9.76,"Upstream2"
2013-12-05,9.38667,"Upstream2"
2013-12-06,8.96667,"Upstream2"
2013-12-07,8.52333,"Upstream2"
2013-12-08,9.40667,"Upstream2"
2013-12-09,10.1233,"Upstream2"
2013-12-10,9.12667,"Upstream2"
2013-12-11,9.83,"Upstream2"
2013-12-12,10.4167,"Upstream2"
2013-12-13,10.93,"Upstream2"
2013-12-14,10.3267,"Upstream2"
2013-12-15,11.0567,"Upstream2"
2013-12-16,10.9967,"Upstream2"
2013-12-17,11.2867,"Upstream2"
2013-12-18,11.0233,"Upstream2"
2013-12-19,11.5667,"Upstream2"
2013-12-20,11.25,"Upstream2"
2013-12-21,10.58,"Upstream2"
2013-12-22,9.64,"Upstream2"
2013-12-23,8.97667,"Upstream2"
2013-12-24,8.96667,"Upstream2"
2013-12-25,10.2633,"Upstream2"
2013-12-26,11.5267,"Upstream2"
2013-12-27,11.2667,"Upstream2"
2013-12-28,11.4067,"Upstream2"
2013-12-29,10.5333,"Upstream2"
2013-12-30,10.41,"Upstream2"
2013-12-31,11.2233,"Upstream2"
2014-01-01,11.9567,"Upstream2"
2014-01-02,12.0433,"Upstream2"
2014-01-03,11.9767,"Upstream2"
2014-01-04,12.5567,"Upstream2"
2014-01-05,12.6433,"Upstream2"
2014-01-06,11.85,"Upstream2"
2014-01-07,11.7033,"Upstream2"
2014-01-08,12.72,"Upstream2"
2014-01-09,12.5967,"Upstream2"
2014-01-10,11.97,"Upstream2"
2014-01-11,11.1467,"Upstream2"
2014-01-12,10.9467,"Upstream2"
2014-01-13,11.4833,"Upstream2"
2014-01-14,10.5133,"Upstream2"
2014-01-15,12.4033,"Upstream2"
2014-01-16,11.58,"Upstream2"
2014-01-17,12.8033,"Upstream2"
2014-01-18,12.7133,"Upstream2"
2014-01-19,12.7067,"Upstream2"
2014-01-20,12.91,"Upstream2"
2014-01-21,12.0067,"Upstream2"
2014-01-22,12.6733,"Upstream2"
2014-01-23,12.6767,"Upstream2"
2014-01-24,12.2033,"Upstream2"
2014-01-25,12.62,"Upstream2"
2014-01-26,12.0567,"Upstream2"
2014-01-27,12.4033,"Upstream2"
2014-01-28,12.1067,"Upstream2"
2014-01-29,13.1467,"Upstream2"
2014-01-30,13.4333,"Upstream2"
2014-01-31,13.3233,"Upstream2"
2014-02-01,12.95,"Upstream2"
2014-02-02,12.3767,"Upstream2"
2014-02-03,11.9867,"Upstream2"
2014-02-04,11.9,"Upstream2"
2014-02-05,12.0167,"Upstream2"
2014-02-06,12.4467,"Upstream2"
2014-02-07,12.7333,"Upstream2"
2014-02-08,12.18,"Upstream2"
2014-02-09,12.3,"Upstream2"
2014-02-10,12.2933,"Upstream2"
2014-02-11,12.8067,"Upstream2"
