"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseDown2A","02:30:00","2018-03-02",5.9,"After"
"NeuseDown2A","02:45:00","2018-03-02",5.40333,"After"
"NeuseDown2A","03:00:00","2018-03-02",5.01667,"After"
"NeuseDown2A","03:15:00","2018-03-02",4.69,"After"
"NeuseDown2A","03:30:00","2018-03-02",4.39333,"After"
"NeuseDown2A","03:45:00","2018-03-02",4.08667,"After"
"NeuseDown2A","04:00:00","2018-03-02",3.94667,"After"
"NeuseDown2A","04:15:00","2018-03-02",3.72667,"After"
"NeuseDown2A","04:30:00","2018-03-02",3.48667,"After"
"NeuseDown2A","04:45:00","2018-03-02",3.27667,"After"
"NeuseDown2A","05:00:00","2018-03-02",3.15,"After"
"NeuseDown2A","05:15:00","2018-03-02",2.95667,"After"
"NeuseDown2A","05:30:00","2018-03-02",2.87667,"After"
"NeuseDown2A","05:45:00","2018-03-02",2.86,"After"
"NeuseDown2A","06:00:00","2018-03-02",2.96667,"After"
"NeuseDown2A","06:15:00","2018-03-02",3.17333,"After"
"NeuseDown2A","06:30:00","2018-03-02",3.32,"After"
"NeuseDown2A","06:45:00","2018-03-02",3.44333,"After"
"NeuseDown2A","07:00:00","2018-03-02",3.60333,"After"
"NeuseDown2A","07:15:00","2018-03-02",3.79333,"After"
"NeuseDown2A","07:30:00","2018-03-02",4.01333,"After"
"NeuseDown2A","07:45:00","2018-03-02",4.13,"After"
"NeuseDown2A","08:00:00","2018-03-02",4.08333,"After"
"NeuseDown2A","08:15:00","2018-03-02",4.03,"After"
"NeuseDown2A","08:30:00","2018-03-02",4.03333,"After"
"NeuseDown2A","08:45:00","2018-03-02",4.03,"After"
"NeuseDown2A","09:00:00","2018-03-02",3.97667,"After"
"NeuseDown2A","09:15:00","2018-03-02",3.91333,"After"
"NeuseDown2A","09:30:00","2018-03-02",3.89667,"After"
"NeuseDown2A","09:45:00","2018-03-02",3.87333,"After"
"NeuseDown2A","10:00:00","2018-03-02",3.88667,"After"
"NeuseDown2A","10:15:00","2018-03-02",3.89667,"After"
"NeuseDown2A","10:30:00","2018-03-02",4.02,"After"
"NeuseDown2A","10:45:00","2018-03-02",4.02,"After"
"NeuseDown2A","11:00:00","2018-03-02",4.03,"After"
"NeuseDown2A","11:15:00","2018-03-02",4.17333,"After"
"NeuseDown2A","11:30:00","2018-03-02",4.24667,"After"
"NeuseDown2A","11:45:00","2018-03-02",4.21667,"After"
"NeuseDown2A","12:00:00","2018-03-02",4.19,"After"
"NeuseDown2A","12:15:00","2018-03-02",4.11667,"After"
"NeuseDown2A","12:30:00","2018-03-02",3.99667,"After"
"NeuseDown2A","12:45:00","2018-03-02",3.82,"After"
"NeuseDown2A","13:00:00","2018-03-02",3.76667,"After"
"NeuseDown2A","13:15:00","2018-03-02",3.73667,"After"
"NeuseDown2A","13:30:00","2018-03-02",3.7,"After"
"NeuseDown2A","13:45:00","2018-03-02",3.67667,"After"
"NeuseDown2A","14:00:00","2018-03-02",3.71333,"After"
"NeuseDown2A","14:15:00","2018-03-02",3.82,"After"
"NeuseDown2A","14:30:00","2018-03-02",3.9,"After"
"NeuseDown2A","14:45:00","2018-03-02",3.97,"After"
"NeuseDown2A","15:00:00","2018-03-02",4.00667,"After"
"NeuseDown2A","15:15:00","2018-03-02",3.95,"After"
"NeuseDown2A","15:30:00","2018-03-02",3.84,"After"
"NeuseDown2A","15:45:00","2018-03-02",3.76333,"After"
"NeuseDown2A","16:00:00","2018-03-02",3.69333,"After"
"NeuseDown2A","16:15:00","2018-03-02",3.65333,"After"
"NeuseDown2A","16:30:00","2018-03-02",3.58333,"After"
"NeuseDown2A","16:45:00","2018-03-02",3.41,"After"
"NeuseDown2A","17:00:00","2018-03-02",3.22667,"After"
"NeuseDown2A","17:15:00","2018-03-02",2.99667,"After"
"NeuseDown2A","17:30:00","2018-03-02",2.91333,"After"
"NeuseDown2A","17:45:00","2018-03-02",2.94333,"After"
"NeuseDown2A","18:00:00","2018-03-02",2.87333,"After"
"NeuseDown2A","18:15:00","2018-03-02",2.74667,"After"
"NeuseDown2A","18:30:00","2018-03-02",2.71,"After"
"NeuseDown2A","18:45:00","2018-03-02",2.66,"After"
"NeuseDown2A","19:00:00","2018-03-02",2.74667,"After"
"NeuseDown2A","19:15:00","2018-03-02",2.75333,"After"
"NeuseDown2A","19:30:00","2018-03-02",2.72333,"After"
